schid,group1,group2,group3,part98,female,yob,sap
115,1,0,0,0.743923768,0.3687783,1987.23505,1
117,1,0,0,0.727833768,0.3786408,1986.42233,1
142,1,0,0,0.759012368,0.3719008,1987.46835,1
143,1,0,0,0.702615468,0.3614035,1987.58741,1
158,1,0,0,0.525520268,0.3666667,1987.9,1
165,1,0,0,0.729736268,0.3716814,1987.77404,1
191,1,0,0,0.632411068,0.3265306,1987.0433,1
206,1,0,0,0.846558268,0.3647913,1987.04135,0
207,1,0,0,0.799290768,0.3692307,1986.20079,0
210,1,0,0,0.839984568,0.3587922,1986.45135,0
215,1,0,0,0.610726568,0.3990268,1987.13316,0
216,1,0,0,0.993453453,0.4080371,1986.51437,0
219,1,0,0,0.837510368,0.3911564,1986.60219,0
220,1,0,0,0.654406368,0.3846154,1986.92944,0
265,1,0,0,0.993775768,0.3746479,1986.75731,0
267,1,0,0,0.994052468,0.3584906,1986.68874,0
268,1,0,0,0.991353868,0.3475,1986.62437,0
274,1,0,0,0.972969268,0.4552239,1986.52213,0
279,1,0,0,0.983453453,0.4029304,1986.69654,0
281,1,0,0,0.984700568,0.4205608,1985.89063,0
286,1,0,0,0.964857768,0.3531598,1986.41222,0
288,1,0,0,0.948280568,0.3584229,1985.72544,0
290,1,0,0,0.976850568,0.395,1986.37067,0
296,1,0,0,0.997276468,0.4168675,1986.58974,0
297,1,0,0,0.995511268,0.3886256,1986.17711,0
109,0,1,0,0.7710227,0.3349876,1986.35857,1
116,0,1,0,0.6398581,0.3213429,1987.74445,1
118,0,1,0,0.5189189,0.3168831,1986.87975,1
119,0,1,0,0.6334076,0.3764045,1986.86314,1
133,0,1,0,0.6,0.4210526,1988.78947,1
134,0,1,0,0.3917526,0.4363636,1987.25,1
141,0,1,0,0.6231118,0.3821989,1987.48666,1
164,0,1,0,0.7230169,0.2992701,1987.39756,1
166,0,1,0,0.7859467,0.3264781,1987.30708,1
182,0,1,0,0.698718,0.3804348,1987.24895,1
183,0,1,0,0.7491927,0.3861607,1988.375,1
192,0,1,0,0.5453608,0.3601533,1987.07114,1
203,0,1,0,0.6577381,0.3724247,1986.3473,0
208,0,1,0,0.6257823,0.4144487,1986.18687,0
221,0,1,0,0.8252174,0.9760638,1988.81794,0
262,0,1,0,0.9692308,0.4,1987.26385,0
263,0,1,0,0.6659052,0.4162162,1987.36244,0
264,0,1,0,0.9521179,0.3495145,1986.71859,0
269,0,1,0,0.9448947,0.3945313,1986.42036,0
273,0,1,0,0.8106152,0.3978494,1986.99177,0
277,0,1,0,0.7368421,0.4375,1986.63063,0
284,0,1,0,0.9424779,0.3592233,1987.27358,0
289,0,1,0,0.9983249,0.3768844,1986.70556,0
292,0,1,0,0.9922566,0.4164223,1986.89254,0
293,0,1,0,0.8809035,0.4501718,1985.79546,0
108,0,0,1,0.7008043,0.2825485,1987.05527,1
140,0,0,1,0.7567731,0.3333333,1987.42542,1
144,0,0,1,0.5977011,0.3897059,1986.43363,1
167,0,0,1,0.5856574,0.3110048,1987.62106,1
168,0,0,1,0.6991261,0.3533835,1987.23881,1
189,0,0,1,0.51473,0.3052209,1986.65073,1
190,0,0,1,0.6393597,0.281768,1986.89474,1
193,0,0,1,0.85,0.3416666,1986.79755,1
201,0,0,1,0.8035364,0.4024145,1986.17391,0
202,0,0,1,0.8093682,0.4212454,1986.10088,0
205,0,0,1,0.8123061,0.399654,1986.09978,0
211,0,0,1,0.9770554,0.3853211,1985.35374,0
212,0,0,1,0.8195084,0.4035533,1986.0759,0
213,0,0,1,0.9885234,0.3713647,1985.6987,0
218,0,0,1,0.9345794,0.3472222,1986.16666,0
261,0,0,1,0.9315404,0.4050633,1986.18182,0
266,0,0,1,0.6719198,0.3744076,1986.05584,0
270,0,0,1,0.9934853,0.3971962,1986.40426,0
272,0,0,1,0.9872468,0.3498818,1985.38409,0
278,0,0,1,0.9155555,0.4347826,1985.89655,0
285,0,0,1,0.6923792,0.4100946,1986.229,0
291,0,0,1,0.9799043,0.4070796,1986.15862,0
294,0,0,1,0.8123249,0.3529412,1986.21811,0
295,0,0,1,0.7126833,0.3666667,1986.04828,0
